医療施設に従事する医師数（人口10万人当たり）,,,
地域,2010年度,2016年度,2018年度
北海道,218.3,238.3,243.1
青森県,182.4,198.2,203.3
岩手県,181.4,193.8,201.7
宮城県,210.4,231.9,238.4
秋田県,203.8,223.5,234.0
山形県,206.3,219.5,226.0
福島県,182.6,195.7,204.9
茨城県,158.0,180.4,187.5
栃木県,205.3,218.0,226.1
群馬県,206.4,225.2,228.3
埼玉県,142.6,160.1,169.8
千葉県,164.3,189.9,194.1
東京都,285.4,304.2,307.5
神奈川県,187.8,205.4,212.4
新潟県,177.2,191.9,197.9
富山県,223.6,241.8,254.4
石川県,251.8,280.6,284.1
福井県,226.5,245.8,252.6
山梨県,209.7,231.8,239.2
長野県,205.0,226.2,233.1
岐阜県,189.0,208.9,215.1
静岡県,182.8,200.8,210.2
愛知県,191.7,207.7,212.9
三重県,190.1,217.0,223.4
滋賀県,200.6,220.9,227.6
京都府,286.2,314.9,323.3
大阪府,248.1,270.4,277.0
兵庫県,215.2,242.4,252.2
奈良県,213.7,243.1,258.5
和歌山県,259.2,290.1,302.1
鳥取県,265.9,298.1,304.8
島根県,250.8,272.3,286.3
岡山県,270.3,300.4,308.2
広島県,235.9,254.6,258.6
山口県,233.1,246.5,252.9
徳島県,283.0,315.9,329.5
香川県,253.7,276.0,282.5
愛媛県,235.8,262.5,269.2
高知県,274.1,306.0,316.9
福岡県,274.2,297.6,302.6
佐賀県,245.0,276.8,280.0
長崎県,270.3,295.7,306.3
熊本県,257.5,281.9,289.8
大分県,245.0,268.5,275.2
宮崎県,220.3,238.4,246.6
鹿児島県,232.4,262.9,270.8
沖縄県,227.7,243.1,240.7
