hostname,data.T,data.P,data.H,sensed_at
machine03,27.68,980.376,62.393,2021/08/20 00:00:00
machine02,26.8,980.174,64.544,2021/08/20 00:00:02
machine01,27.59,980.374,59.595,2021/08/20 00:00:03
machine03,27.64,980.362,62.504,2021/08/20 00:00:05
machine02,26.82,980.182,64.499,2021/08/20 00:00:07
machine01,27.58,980.372,59.595,2021/08/20 00:00:08
machine03,27.64,980.372,62.527,2021/08/20 00:00:10
machine02,26.82,980.195,64.452,2021/08/20 00:00:12
machine01,27.59,980.379,59.606,2021/08/20 00:00:13
machine03,27.6,980.343,62.579,2021/08/20 00:00:15
machine02,26.8,980.146,64.507,2021/08/20 00:00:17
machine01,27.58,980.396,59.606,2021/08/20 00:00:18
machine03,27.56,980.355,62.529,2021/08/20 00:00:20
machine02,26.84,980.188,64.408,2021/08/20 00:00:22
machine01,27.59,980.383,59.606,2021/08/20 00:00:23
machine03,27.53,980.375,62.733,2021/08/20 00:00:25
machine02,26.83,980.167,64.441,2021/08/20 00:00:27
machine01,27.59,980.377,59.595,2021/08/20 00:00:28
machine03,27.5,980.379,62.859,2021/08/20 00:00:30
machine02,26.81,980.209,64.521,2021/08/20 00:00:32
machine01,27.59,980.406,59.595,2021/08/20 00:00:33
machine03,27.48,980.38,62.961,2021/08/20 00:00:35
machine02,26.8,980.151,64.509,2021/08/20 00:00:37
machine01,27.6,980.378,59.608,2021/08/20 00:00:38
machine03,27.47,980.374,63.053,2021/08/20 00:00:40
machine02,26.81,980.168,64.509,2021/08/20 00:00:42
machine01,27.59,980.41,59.606,2021/08/20 00:00:43
machine03,27.45,980.357,63.027,2021/08/20 00:00:45
machine02,26.81,980.148,64.511,2021/08/20 00:00:47
machine01,27.59,980.37,59.606,2021/08/20 00:00:48
machine03,27.44,980.346,63.143,2021/08/20 00:00:50
machine02,26.84,980.161,64.433,2021/08/20 00:00:52
machine01,27.6,980.376,59.608,2021/08/20 00:00:53
machine03,27.48,980.355,63.16,2021/08/20 00:00:55
machine02,26.83,980.162,64.465,2021/08/20 00:00:57
machine01,27.59,980.359,59.606,2021/08/20 00:00:58
machine03,27.46,980.367,63.191,2021/08/20 00:01:00
machine02,26.82,980.173,64.499,2021/08/20 00:01:02
machine01,27.58,980.396,59.606,2021/08/20 00:01:03
machine03,27.45,980.361,63.132,2021/08/20 00:01:05
machine02,26.82,980.168,64.499,2021/08/20 00:01:07
machine01,27.59,980.37,59.606,2021/08/20 00:01:08
machine03,27.45,980.36,63.062,2021/08/20 00:01:10
machine02,26.82,980.168,64.487,2021/08/20 00:01:12
machine01,27.59,980.336,59.619,2021/08/20 00:01:13
