É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2022/11/20 16:46:53

,çbï{,çbï{,çbï{
îNåé,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé)
,,ïiéøèÓïÒ,ãœéøî‘çÜ
2000/1,4.8,8,1
2000/2,3.4,8,1
2000/3,7.4,8,1
2000/4,13.4,8,1
2000/5,19.7,8,1
2000/6,22.1,8,1
2000/7,26.2,8,1
2000/8,27.0,8,1
2000/9,23.0,8,1
2000/10,17.5,8,1
2000/11,11.6,8,1
2000/12,5.5,8,1
2001/1,1.5,8,1
2001/2,3.9,8,1
2001/3,8.0,8,1
2001/4,14.0,8,1
2001/5,18.7,8,1
2001/6,22.4,8,1
2001/7,27.7,8,1
2001/8,26.2,8,1
2001/9,22.1,8,1
2001/10,16.2,8,1
2001/11,9.4,8,1
2001/12,4.7,8,1
2002/1,3.4,8,1
2002/2,5.3,8,1
2002/3,10.4,8,1
2002/4,15.2,8,1
2002/5,18.2,8,1
2002/6,21.7,8,1
2002/7,27.1,8,1
2002/8,27.1,8,1
2002/9,22.1,8,1
2002/10,16.4,8,1
2002/11,8.4,8,1
2002/12,4.2,8,1
2003/1,2.1,8,1
2003/2,5.1,8,1
2003/3,7.0,8,1
2003/4,14.7,8,1
2003/5,18.4,8,1
2003/6,22.6,8,1
2003/7,23.3,8,1
2003/8,25.8,8,1
2003/9,23.7,8,1
2003/10,15.4,8,1
2003/11,13.0,8,1
2003/12,6.2,8,1
2004/1,2.8,8,1
2004/2,5.9,8,1
2004/3,8.1,8,1
2004/4,15.4,8,1
2004/5,20.0,8,1
2004/6,23.4,8,1
2004/7,27.9,8,1
2004/8,26.1,8,1
2004/9,24.4,8,1
2004/10,16.3,8,1
2004/11,12.6,8,1
2004/12,6.9,8,1
2005/1,2.4,8,1
2005/2,4.5,8,1
2005/3,7.6,8,1
2005/4,14.5,8,1
2005/5,18.3,8,1
2005/6,23.4,8,1
2005/7,25.6,8,1
2005/8,27.2,8,1
2005/9,24.3,8,1
2005/10,18.1,8,1
2005/11,9.6,8,1
2005/12,2.9,8,1
2006/1,2.6,8,1
2006/2,5.3,8,1
2006/3,8.1,8,1
2006/4,13.1,8,1
2006/5,18.5,8,1
2006/6,22.3,8,1
2006/7,25.2,8,1
2006/8,27.0,8,1
2006/9,22.8,8,1
2006/10,18.3,8,1
2006/11,11.4,8,1
2006/12,6.2,8,1
2007/1,4.2,8,1
2007/2,6.6,8,1
2007/3,9.1,8,1
2007/4,12.9,8,1
2007/5,18.4,8,1
2007/6,22.4,8,1
2007/7,24.5,8,1
2007/8,27.7,8,1
2007/9,24.7,8,1
2007/10,17.0,8,1
2007/11,11.1,8,1
2007/12,5.5,8,1
2008/1,3.0,8,1
2008/2,2.8,8,1
2008/3,9.4,8,1
2008/4,14.2,8,1
2008/5,18.1,8,1
2008/6,21.1,8,1
2008/7,26.4,8,1
2008/8,26.3,8,1
2008/9,22.8,8,1
2008/10,17.1,8,1
2008/11,10.2,8,1
2008/12,5.9,8,1
2009/1,3.5,8,1
2009/2,6.7,8,1
2009/3,8.5,8,1
2009/4,14.6,8,1
2009/5,18.8,8,1
2009/6,22.0,8,1
2009/7,25.4,8,1
2009/8,26.2,8,1
2009/9,22.5,8,1
2009/10,16.5,8,1
2009/11,10.9,8,1
2009/12,5.4,8,1
2010/1,3.2,8,1
2010/2,5.3,8,1
2010/3,8.6,8,1
2010/4,11.8,8,1
2010/5,17.6,8,1
2010/6,22.6,8,1
2010/7,26.8,8,1
2010/8,28.3,8,1
2010/9,24.3,8,1
2010/10,17.7,8,1
2010/11,9.7,8,1
2010/12,6.2,8,1
2011/1,2.0,8,1
2011/2,5.7,8,1
2011/3,6.6,5,1
2011/4,13.2,8,1
2011/5,18.0,8,1
2011/6,23.1,8,1
2011/7,26.8,8,1
2011/8,26.8,8,1
2011/9,23.2,8,1
2011/10,17.2,8,1
2011/11,12.0,8,1
2011/12,4.9,8,1
2012/1,2.2,8,1
2012/2,3.5,8,1
2012/3,7.8,8,1
2012/4,13.8,8,1
2012/5,18.4,8,1
2012/6,21.8,8,1
2012/7,26.2,8,1
2012/8,27.8,8,1
2012/9,24.7,8,1
2012/10,17.4,8,1
2012/11,9.7,8,1
2012/12,3.8,8,1
2013/1,2.0,8,1
2013/2,4.2,8,1
2013/3,11.2,8,1
2013/4,13.6,8,1
2013/5,19.2,8,1
2013/6,22.7,8,1
2013/7,27.0,8,1
2013/8,28.5,8,1
2013/9,23.9,8,1
2013/10,18.6,8,1
2013/11,9.6,8,1
2013/12,4.4,8,1
2014/1,2.8,8,1
2014/2,2.9,8,1
2014/3,8.1,8,1
2014/4,13.3,8,1
2014/5,19.2,8,1
2014/6,22.6,8,1
2014/7,26.4,8,1
2014/8,26.5,8,1
2014/9,22.0,8,1
2014/10,17.2,8,1
2014/11,11.5,8,1
2014/12,3.9,8,1
2015/1,3.4,8,1
2015/2,4.5,8,1
2015/3,9.4,8,1
2015/4,14.4,8,1
2015/5,20.7,8,1
2015/6,21.9,8,1
2015/7,25.9,8,1
2015/8,27.2,8,1
2015/9,22.2,8,1
2015/10,17.2,8,1
2015/11,12.6,8,1
2015/12,7.5,8,1
2016/1,3.2,8,1
2016/2,5.4,8,1
2016/3,9.4,8,1
2016/4,15.4,8,1
2016/5,20.3,8,1
2016/6,22.6,8,1
2016/7,26.3,8,1
2016/8,27.1,8,1
2016/9,24.2,8,1
2016/10,18.2,8,1
2016/11,10.3,8,1
2016/12,5.9,8,1
2017/1,3.2,8,1
2017/2,4.9,8,1
2017/3,7.4,8,1
2017/4,14.0,8,1
2017/5,19.8,8,1
2017/6,22.0,8,1
2017/7,27.4,8,1
2017/8,27.3,8,1
2017/9,22.6,8,1
2017/10,16.5,8,1
2017/11,9.8,8,1
2017/12,4.3,8,1
2018/1,2.5,8,1
2018/2,3.8,8,1
2018/3,10.2,8,1
2018/4,16.3,8,1
2018/5,19.3,8,1
2018/6,23.0,8,1
2018/7,28.3,8,1
2018/8,28.2,8,1
2018/9,22.7,8,1
2018/10,18.1,8,1
2018/11,12.4,8,1
2018/12,6.6,8,1
2019/1,3.6,8,1
2019/2,6.1,8,1
2019/3,9.6,8,1
2019/4,13.6,8,1
2019/5,19.3,8,1
2019/6,22.2,8,1
2019/7,24.8,8,1
2019/8,27.9,8,1
2019/9,25.2,8,1
2019/10,19.1,8,1
2019/11,11.9,8,1
2019/12,6.9,8,1
2020/1,5.6,8,1
2020/2,6.4,8,1
2020/3,10.3,8,1
2020/4,12.8,8,1
2020/5,19.8,8,1
2020/6,23.5,8,1
2020/7,24.6,8,1
2020/8,29.0,8,1
2020/9,24.4,8,1
2020/10,16.5,8,1
2020/11,12.0,8,1
2020/12,5.7,8,1
2021/1,3.3,8,1
2021/2,7.0,8,1
2021/3,11.5,8,1
2021/4,14.5,8,1
2021/5,19.3,8,1
2021/6,22.7,8,1
2021/7,26.1,8,1
2021/8,27.0,8,1
2021/9,22.7,8,1
2021/10,17.9,8,1
2021/11,11.1,8,1
2021/12,5.7,8,1
2022/1,2.6,8,1
2022/2,3.5,8,1
2022/3,10.9,8,1
2022/4,15.6,8,1
2022/5,18.8,8,1
2022/6,23.2,8,1
2022/7,26.9,8,1
2022/8,27.5,8,1
2022/9,24.7,8,1
2022/10,16.2,8,1
2022/11,12.5,4,1
