x,x2,x3,x4,t
1,1,1,1,4.8
2,4,8,16,3.4
3,9,27,81,7.4
4,16,64,256,13.4
5,25,125,625,19.7
6,36,216,1296,22.1
7,49,343,2401,26.2
8,64,512,4096,27
9,81,729,6561,23
10,100,1000,10000,17.5
11,121,1331,14641,11.6
12,144,1728,20736,5.5
1,1,1,1,1.5
2,4,8,16,3.9
3,9,27,81,8
4,16,64,256,14
5,25,125,625,18.7
6,36,216,1296,22.4
7,49,343,2401,27.7
8,64,512,4096,26.2
9,81,729,6561,22.1
10,100,1000,10000,16.2
11,121,1331,14641,9.4
12,144,1728,20736,4.7
1,1,1,1,3.4
2,4,8,16,5.3
3,9,27,81,10.4
4,16,64,256,15.2
5,25,125,625,18.2
6,36,216,1296,21.7
7,49,343,2401,27.1
8,64,512,4096,27.1
9,81,729,6561,22.1
10,100,1000,10000,16.4
11,121,1331,14641,8.4
12,144,1728,20736,4.2
1,1,1,1,2.1
2,4,8,16,5.1
3,9,27,81,7
4,16,64,256,14.7
5,25,125,625,18.4
6,36,216,1296,22.6
7,49,343,2401,23.3
8,64,512,4096,25.8
9,81,729,6561,23.7
10,100,1000,10000,15.4
11,121,1331,14641,13
12,144,1728,20736,6.2
1,1,1,1,2.8
2,4,8,16,5.9
3,9,27,81,8.1
4,16,64,256,15.4
5,25,125,625,20
6,36,216,1296,23.4
7,49,343,2401,27.9
8,64,512,4096,26.1
9,81,729,6561,24.4
10,100,1000,10000,16.3
11,121,1331,14641,12.6
12,144,1728,20736,6.9
1,1,1,1,2.4
2,4,8,16,4.5
3,9,27,81,7.6
4,16,64,256,14.5
5,25,125,625,18.3
6,36,216,1296,23.4
7,49,343,2401,25.6
8,64,512,4096,27.2
9,81,729,6561,24.3
10,100,1000,10000,18.1
11,121,1331,14641,9.6
12,144,1728,20736,2.9
1,1,1,1,2.6
2,4,8,16,5.3
3,9,27,81,8.1
4,16,64,256,13.1
5,25,125,625,18.5
6,36,216,1296,22.3
7,49,343,2401,25.2
8,64,512,4096,27
9,81,729,6561,22.8
10,100,1000,10000,18.3
11,121,1331,14641,11.4
12,144,1728,20736,6.2
1,1,1,1,4.2
2,4,8,16,6.6
3,9,27,81,9.1
4,16,64,256,12.9
5,25,125,625,18.4
6,36,216,1296,22.4
7,49,343,2401,24.5
8,64,512,4096,27.7
9,81,729,6561,24.7
10,100,1000,10000,17
11,121,1331,14641,11.1
12,144,1728,20736,5.5
1,1,1,1,3
2,4,8,16,2.8
3,9,27,81,9.4
4,16,64,256,14.2
5,25,125,625,18.1
6,36,216,1296,21.1
7,49,343,2401,26.4
8,64,512,4096,26.3
9,81,729,6561,22.8
10,100,1000,10000,17.1
11,121,1331,14641,10.2
12,144,1728,20736,5.9
1,1,1,1,3.5
2,4,8,16,6.7
3,9,27,81,8.5
4,16,64,256,14.6
5,25,125,625,18.8
6,36,216,1296,22
7,49,343,2401,25.4
8,64,512,4096,26.2
9,81,729,6561,22.5
10,100,1000,10000,16.5
11,121,1331,14641,10.9
12,144,1728,20736,5.4
1,1,1,1,3.2
2,4,8,16,5.3
3,9,27,81,8.6
4,16,64,256,11.8
5,25,125,625,17.6
6,36,216,1296,22.6
7,49,343,2401,26.8
8,64,512,4096,28.3
9,81,729,6561,24.3
10,100,1000,10000,17.7
11,121,1331,14641,9.7
12,144,1728,20736,6.2
1,1,1,1,2
2,4,8,16,5.7
3,9,27,81,6.6
4,16,64,256,13.2
5,25,125,625,18
6,36,216,1296,23.1
7,49,343,2401,26.8
8,64,512,4096,26.8
9,81,729,6561,23.2
10,100,1000,10000,17.2
11,121,1331,14641,12
12,144,1728,20736,4.9
1,1,1,1,2.2
2,4,8,16,3.5
3,9,27,81,7.8
4,16,64,256,13.8
5,25,125,625,18.4
6,36,216,1296,21.8
7,49,343,2401,26.2
8,64,512,4096,27.8
9,81,729,6561,24.7
10,100,1000,10000,17.4
11,121,1331,14641,9.7
12,144,1728,20736,3.8
1,1,1,1,2
2,4,8,16,4.2
3,9,27,81,11.2
4,16,64,256,13.6
5,25,125,625,19.2
6,36,216,1296,22.7
7,49,343,2401,27
8,64,512,4096,28.5
9,81,729,6561,23.9
10,100,1000,10000,18.6
11,121,1331,14641,9.6
12,144,1728,20736,4.4
1,1,1,1,2.8
2,4,8,16,2.9
3,9,27,81,8.1
4,16,64,256,13.3
5,25,125,625,19.2
6,36,216,1296,22.6
7,49,343,2401,26.4
8,64,512,4096,26.5
9,81,729,6561,22
10,100,1000,10000,17.2
11,121,1331,14641,11.5
12,144,1728,20736,3.9
1,1,1,1,3.4
2,4,8,16,4.5
3,9,27,81,9.4
4,16,64,256,14.4
5,25,125,625,20.7
6,36,216,1296,21.9
7,49,343,2401,25.9
8,64,512,4096,27.2
9,81,729,6561,22.2
10,100,1000,10000,17.2
11,121,1331,14641,12.6
12,144,1728,20736,7.5
1,1,1,1,3.2
2,4,8,16,5.4
3,9,27,81,9.4
4,16,64,256,15.4
5,25,125,625,20.3
6,36,216,1296,22.6
7,49,343,2401,26.3
8,64,512,4096,27.1
9,81,729,6561,24.2
10,100,1000,10000,18.2
11,121,1331,14641,10.3
12,144,1728,20736,5.9
1,1,1,1,3.2
2,4,8,16,4.9
3,9,27,81,7.4
4,16,64,256,14
5,25,125,625,19.8
6,36,216,1296,22
7,49,343,2401,27.4
8,64,512,4096,27.3
9,81,729,6561,22.6
10,100,1000,10000,16.5
11,121,1331,14641,9.8
12,144,1728,20736,4.3
1,1,1,1,2.5
2,4,8,16,3.8
3,9,27,81,10.2
4,16,64,256,16.3
5,25,125,625,19.3
6,36,216,1296,23
7,49,343,2401,28.3
8,64,512,4096,28.2
9,81,729,6561,22.7
10,100,1000,10000,18.1
11,121,1331,14641,12.4
12,144,1728,20736,6.6
1,1,1,1,3.6
2,4,8,16,6.1
3,9,27,81,9.6
4,16,64,256,13.6
5,25,125,625,19.3
6,36,216,1296,22.2
7,49,343,2401,24.8
8,64,512,4096,27.9
9,81,729,6561,25.2
10,100,1000,10000,19.1
11,121,1331,14641,11.9
12,144,1728,20736,6.9
1,1,1,1,5.6
2,4,8,16,6.4
3,9,27,81,10.3
4,16,64,256,12.8
5,25,125,625,19.8
6,36,216,1296,23.5
7,49,343,2401,24.6
8,64,512,4096,29
9,81,729,6561,24.4
10,100,1000,10000,16.5
11,121,1331,14641,12
12,144,1728,20736,5.7
1,1,1,1,3.3
2,4,8,16,7
3,9,27,81,11.5
4,16,64,256,14.5
5,25,125,625,19.3
6,36,216,1296,22.7
7,49,343,2401,26.1
8,64,512,4096,27
9,81,729,6561,22.7
10,100,1000,10000,17.9
11,121,1331,14641,11.1
12,144,1728,20736,5.7
1,1,1,1,2.6
2,4,8,16,3.5
3,9,27,81,10.9
4,16,64,256,15.6
5,25,125,625,18.8
6,36,216,1296,23.2
7,49,343,2401,26.9
8,64,512,4096,27.5
9,81,729,6561,24.7
10,100,1000,10000,16.2
11,121,1331,14641,12.5
12,144,1728,20736,5.4
